Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Upcoming Earnings Date
AALR3,ALLIAR ON NM,10.69,0.8490566,0.09,Buy,1100,11759,253146171.0338,,-0.36426339,,Health Services,2023-08-10
AALR3L,ALLIAR ON NM,24.55,,,,36293963,891016791.65,253146171.0338,,-0.36426339,,Health Services,2023-08-10
AALR3F,ALLIAR ON NM,10.85,-0.54995417,-0.06,Buy,3,32.55,253146171.0338,,-0.36426339,,Health Services,2023-08-10
GMGI,"Golden Matrix Group, Inc.",3.2,-1.2345679,-0.04,Sell,7989,25564.8,118127202.99999999,,-0.0702,30,Technology Services,2023-08-11
CTNM3F,COTEMINAS ON,9.38,0,0,Sell,1,9.38,33619280.2309,,,,Consumer Durables,2023-08-14
CTNM4F,COTEMINAS PN,2.25,-0.88105727,-0.02,Sell,5,11.25,33619280.2309,,,,Consumer Durables,2023-08-14
CTNM3,COTEMINAS ON,9.24,2.66666667,0.24,Sell,500,4620,33619280.2309,,,,Consumer Durables,2023-08-14
CTNM4,COTEMINAS PN,2.26,1.8018018,0.04,Sell,100,226,33619280.2309,,,,Consumer Durables,2023-08-14
VBLT,Vascular Biogenics Ltd.,0.2398,4.21555845,0.0097,Buy,10000,2398,18618186,,-0.3208,,Health Technology,2023-08-14
SLED3F,SARAIVA LIVRON N2,6.07,-2.41157556,-0.15,Sell,57,345.99,4787524.8711,,,,Retail Trade,2023-08-14
SLED4F,SARAIVA LIVRPN N2,2.17,-0.4587156,-0.01,Strong Sell,20,43.4,4787524.8711,,,,Retail Trade,2023-08-14
SLED4,SARAIVA LIVRPN N2,2.17,-0.4587156,-0.01,Sell,1100,2387,4787524.8711,,,,Retail Trade,2023-08-14
SLED3,SARAIVA LIVRON N2,6.18,1.64473684,0.1,Buy,200,1236,4787524.8711,,,,Retail Trade,2023-08-14
RNEW11,RENOVA UNT N2,4.45,0,0,Buy,200,890,74874751.1217,,,,Utilities,2023-08-14
RNEW11F,RENOVA UNT N2,4.43,0,0,Buy,40,177.2,74874751.1217,,,,Utilities,2023-08-14
GGAZF,Goldgroup Mining Inc.,0.0264,-20.2175884,-0.00669,Strong Sell,17625,465.3,755664.54857143,,-0.12444102,,Non-Energy Minerals,2023-08-15
ATMP3F,ATMASA ON,2.1,0,0,Buy,51,107.1,11119298.0653,,-3.21128188,,Commercial Services,2023-08-15
ATMP3,ATMASA ON,2.07,-1.42857143,-0.03,Sell,100,207,11119298.0653,,-3.21128188,,Commercial Services,2023-08-15
SBET,SharpLink Gaming Ltd.,2.33,0,0,Sell,100,233,6602600,,-0.628,62,Technology Services,2023-08-15
CSOL,"China Solar & Clean Energy Solutions, Inc.",0.016,0,0,Sell,20000,320,904384,,,,Producer Manufacturing,2023-08-21
NNMX,Nanomix Corporation,0.0002,0,0,Sell,172,0.0344,9799.36,,-0.3548,30,Health Technology,2023-08-21
CVHL,"CV Holdings, Inc.",0.03,30.43478261,0.007,Sell,5000,150,1331044,,,,Finance,2023-08-21
DTRK,"DATATRAK International, Inc.",0.236,0,0,Sell,300,70.8,301608,,-0.3506,35,Technology Services,2023-08-21
ULUR,ULURU INC,0.000001,0,0,,1290,0.00129,20,,,,Health Technology,2023-08-21
XNNHQ,XENONICS HOLDINGS INC,0.0003,0,0,Sell,1000,0.3,7892,,,,Finance,2023-08-21
CLWY,"Calloway's Nursery, Inc.",11,0,0,Neutral,500,5500,86372003,15.48859476,0.7102,,Retail Trade,2023-08-21
RDVWF,RADVIEW SOFTWARE,0.0001,0,0,Sell,26737,2.6737,7690,,,,Technology Services,2023-08-21
ONVC,ONLINE VACATION CENTER HOLDINGS COR,0.35,25,0.07,Sell,500,175,5131000,,,,Consumer Services,2023-08-21
NSLPQ,NEW SOURCE ENERGY PARTNERS L P,0.0001,0,0,Sell,130,0.013,1652,,,,Energy Minerals,2023-08-21
TRAC,TRACK DATA CORP,20,0,0,Sell,2,40,1660000,,,,Technology Services,2023-08-21
CXGEF,Computer & Technologies Holdings Ltd.,0.247,-11.78571429,-0.033,Strong Sell,791,195.377,61214849.91488373,10.17688162,0.0243091,373,Technology Services,2023-08-21
FAME,FLAMEMASTER CORP,7.5,14.50381679,0.95,Sell,362,2715,,,,,Process Industries,2023-08-21
ABTO,AB&T Financial Corp. (NC),0.4602,-10.98646035,-0.0568,Sell,2500,1150.5,1227813.41743529,,,,Finance,2023-08-21
BHBCQ,BEVERLY HILLS BANCORP,0.0001,0,0,Sell,114,0.0114,1879,,,,Finance,2023-08-21
EVSP,ENVIRONMENTAL SVC PROFESSIONAL INC,0.000001,0,0,Sell,17000,0.017,286,,,,Producer Manufacturing,2023-08-21
SYBRQ,SYNERGY BRANDS INC,0.000001,0,0,Strong Sell,50000,0.05,,,,,Distribution Services,2023-08-21
AKSY,AKSYS LTD,0.000001,0,0,Strong Sell,1007,0.001007,32,,,,Health Technology,2023-08-21
EORBF,ORBITE TECHNOLOGIES INC,0.00001,0,0,Buy,16333,0.16333,,,,,Non-Energy Minerals,2023-08-21
RTNB,ROOT9B HOLDINGS INC,0.000001,0,0,Strong Sell,500,0.0005,6,,,,Technology Services,2023-08-21
PXHI,"PhoneX Holdings, Inc.",1.51,2.02702703,0.03,Sell,100,151,42820579,7.36944851,0.2081,,Technology Services,2023-08-21
QBAK,Qualstar Corp.,2.5,4.16666667,0.1,Buy,254,635,4710082.17821782,138.88888889,0.018,,Electronic Technology,2023-08-21
